channel_sales,forecast_cons_year,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,margin_gross_pow_ele,nb_prod_act,num_years_antig,origin_up,var_year_price_off_peak_var,var_year_price_peak_var,var_year_price_mid_peak_var,var_year_price_off_peak_fix,var_year_price_peak_fix,var_6m_price_off_peak_var,var_6m_price_peak_var,var_6m_price_mid_peak_var,var_6m_price_off_peak_fix,churn,date_activ_year,date_activ_month,date_activ_day,date_activ_dayofweek,date_activ_dayofyear,date_end_year,date_end_month,date_end_day,date_end_dayofweek,date_end_dayofyear,date_modif_prod_year,date_modif_prod_month,date_modif_prod_day,date_modif_prod_dayofweek,date_modif_prod_dayofyear,date_renewal_year,date_renewal_month,date_renewal_day,date_renewal_dayofweek,date_renewal_dayofyear,power_utilization_ratio,cons_vs_forecast,discount_impact,total_energy_usage
foosdfpfkusacimwkcsosbicdxkicaua,6094,145.41,0.115744,0.098858,40.606701,f,32.88,1,6,lxidpiddsbxsbosboudacockeimpuepw,1.58E-05,3.96E-06,1.87E-06,0.004021438,0.001447718,1.11E-05,2.90E-06,4.86E-10,0,1,2010,1,15,4,15,2016,2,14,6,45,2013,9,14,5,257,2015,2,16,0,47,222.6717172,79107.67,0,88178
ewpakwlliwisiwduibdlfmalxowmwpci,2237,143.04,0.115237,0.100123,40.606701,f,9.93,1,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,2.03E-05,5.13E-06,1.43E-07,0,0,1.19E-05,2.78E-06,1.86E-07,0,0,2010,11,17,2,321,2016,11,17,3,322,2015,5,24,6,144,2015,11,18,2,322,35.44920635,19955.14,0,22333
foosdfpfkusacimwkcsosbicdxkicaua,124,129.6,0.120372,0.103487,40.606701,f,108.9,1,5,lxidpiddsbxsbosboudacockeimpuepw,1.55E-05,3.72E-06,1.78E-06,0.005428942,0.001954419,1.11E-05,2.90E-06,4.86E-10,0,0,2011,3,5,5,64,2016,3,5,5,65,2011,3,5,5,64,2015,3,6,4,65,54.953125,31570.97,0,31653
foosdfpfkusacimwkcsosbicdxkicaua,0,117.54,0.115237,0.100123,40.606701,f,11.04,1,3,lxidpiddsbxsbosboudacockeimpuepw,1.50E-05,2.49E-06,1.89E-06,0.005428835,0.001954466,9.62E-06,2.94E-06,2.82E-06,0.007962096,0,2013,6,22,5,173,2016,10,9,6,283,2013,10,9,2,282,2015,10,11,6,284,1170.823232,460787.18,0,463646
foosdfpfkusacimwkcsosbicdxkicaua,951,129.61,0.120372,0.103487,40.606701,f,36.22,1,4,lxidpiddsbxsbosboudacockeimpuepw,1.55E-05,3.72E-06,1.78E-06,0.005428942,0.001954419,1.11E-05,2.90E-06,4.86E-10,0,0,2012,3,13,1,73,2016,3,13,6,73,2012,3,13,1,73,2015,3,16,0,75,44.175,9479.97,0,10602
foosdfpfkusacimwkcsosbicdxkicaua,0,16.09,0.144149,0,44.31137796,f,19.28,1,3,lxidpiddsbxsbosboudacockeimpuepw,4.12E-06,0,0,0.007661891,0,3.32E-06,0,0,0,1,2013,4,9,1,99,2016,4,9,5,100,2013,4,9,1,99,2015,4,12,6,102,172.8332692,18339.51,0,21553
MISSING,2368,142.63,0.116509,0.101397,40.606701,f,4.46,1,5,ldkssxwpmemidmecebumciepifcamkci,1.77E-05,4.61E-06,7.73E-10,3.44E-12,1.85E-12,1.11E-05,2.90E-06,4.86E-10,0,0,2010,12,20,0,354,2016,12,20,1,355,2010,12,20,0,354,2015,12,21,0,355,290.7158333,346091.69,0,348859
foosdfpfkusacimwkcsosbicdxkicaua,1542,18.32,0.145711,0,44.31137796,f,27.69,1,4,lxidpiddsbxsbosboudacockeimpuepw,4.23E-06,0,0,0.008380194,0,3.32E-06,0,0,0,0,2012,5,28,0,149,2016,5,28,5,149,2012,5,28,0,149,2015,5,29,4,149,40.63333333,6219.18,0,7314
foosdfpfkusacimwkcsosbicdxkicaua,1174,129.24,0.116509,0.101397,40.606701,f,2.46,1,4,lxidpiddsbxsbosboudacockeimpuepw,1.77E-05,4.61E-06,7.73E-10,3.44E-12,1.85E-12,1.11E-05,2.90E-06,4.86E-10,0,1,2011,12,17,5,351,2016,12,17,5,352,2011,12,17,5,351,2015,12,20,6,354,4772.29547,1127969.83,0,1129316
foosdfpfkusacimwkcsosbicdxkicaua,1105,14.44,0.186188,0,45.80687796,f,37.56,1,5,lxidpiddsbxsbosboudacockeimpuepw,4.87E-06,0,0,3.82E-13,0,3.32E-06,0,0,0,0,2011,5,26,3,146,2016,4,1,4,92,2014,4,1,1,91,2015,4,2,3,92,75.99333333,9240.19,0.027747589,11399
foosdfpfkusacimwkcsosbicdxkicaua,9069,130.68,0.115744,0.098858,40.606701,f,16.32,1,5,lxidpiddsbxsbosboudacockeimpuepw,1.75E-05,4.52E-06,3.59E-07,3.44E-12,1.85E-12,1.11E-05,2.90E-06,4.86E-10,0,0,2011,1,6,3,6,2017,1,6,4,6,2011,1,6,3,6,2016,1,7,3,7,826.6819106,155087.31,0,162691
MISSING,9471,129.26,0.114481,0.098142,40.606701,t,35.81,3,6,lxidpiddsbxsbosboudacockeimpuepw,1.85E-05,3.97E-06,1.29E-06,0.006434301,0.002316348,1.11E-05,2.90E-06,4.86E-10,0,0,2010,4,10,5,100,2016,4,10,6,101,2013,9,16,0,259,2015,4,12,6,102,329.63125,152564.96,0,346824
usilxuppasemubllopkaafesmlibmsdf,3007,132.13,0.116509,0.101397,40.606701,t,0.8,4,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.58E-05,4.03E-06,6.86E-07,0,0,1.09E-05,3.49E-06,1.39E-06,0,0,2011,12,2,4,336,2016,12,2,4,337,2014,11,17,0,321,2015,12,3,3,337,407.7777778,81243.87,0,271267
lmkebamcaaclubfxadlmueccxoimlema,0,14.91,0.146694,0,44.31137796,f,34.68,1,3,kamkkxfxxuwbdslkwifmmcsiusiuosws,5.55E-06,0,0,3.49E-13,0,3.32E-06,0,0,0,0,2013,1,8,1,8,2017,1,8,6,8,2013,1,8,1,8,2016,1,10,6,10,17.36311586,2450.55,0,2887
MISSING,389,129.6,0.1169,0.100015,40.606701,f,51.96,1,6,lxidpiddsbxsbosboudacockeimpuepw,1.69E-05,4.33E-06,8.70E-07,3.53E-12,1.90E-12,1.11E-05,2.90E-06,4.86E-10,0,0,2010,1,28,3,28,2016,1,28,3,28,2010,1,28,3,28,2015,1,30,4,30,34.66843076,8247.46,0,8647
lmkebamcaaclubfxadlmueccxoimlema,0,6.67,0.145711,0,44.31137796,f,21.52,1,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,4.00E-06,0,0,0.008619667,0,3.32E-06,0,0,0,0,2011,6,9,3,160,2016,6,9,3,161,2011,6,9,3,160,2015,6,21,6,172,0.063131313,8.48,0,10
ewpakwlliwisiwduibdlfmalxowmwpci,0,17.35,0.145884,0,44.31137796,f,23.76,1,5,ldkssxwpmemidmecebumciepifcamkci,4.16E-06,0,0,0.006464721,0,3.32E-06,0,0,0,0,2011,3,8,1,67,2016,3,8,1,68,2011,3,8,1,67,2015,3,9,0,68,45.5638953,4828.6,0,5682
foosdfpfkusacimwkcsosbicdxkicaua,125,146.81,0.115174,0.098837,40.606701,t,47,2,5,lxidpiddsbxsbosboudacockeimpuepw,1.64E-05,2.65E-06,2.44E-06,0.007238536,0.002605915,1.11E-05,2.90E-06,4.86E-10,0,0,2011,6,14,1,165,2016,6,14,1,166,2011,6,14,1,165,2015,6,23,1,174,2855.159933,1017478.73,0,1205157
foosdfpfkusacimwkcsosbicdxkicaua,2000,132.19,0.1169,0.100015,40.606701,t,24.72,2,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.58E-05,3.96E-06,1.87E-06,0.004021438,0.001447718,1.11E-05,2.90E-06,4.86E-10,0,0,2010,1,12,1,12,2016,2,9,1,40,2010,1,12,1,12,2015,2,11,2,42,83.86363636,14910.28,0,243654
lmkebamcaaclubfxadlmueccxoimlema,0,19.51,0.145711,0,44.31137796,f,22.52,1,4,ldkssxwpmemidmecebumciepifcamkci,4.00E-06,0,0,0.008619667,0,3.32E-06,0,0,0,0,2012,6,11,0,163,2016,6,11,5,163,2012,6,11,0,163,2015,6,14,6,165,15.04763279,2126.25,0,2502
foosdfpfkusacimwkcsosbicdxkicaua,7895,145.77,0.113323,0.096984,40.606701,t,14.94,2,6,lxidpiddsbxsbosboudacockeimpuepw,2.34E-05,7.00E-06,2.41E-08,0.005428835,0.001954466,1.54E-05,4.77E-06,4.01E-08,0.007962096,0,2009,9,9,2,252,2016,9,9,4,253,2009,9,9,2,252,2015,9,10,3,253,140.4818182,83921.57,0,92718
foosdfpfkusacimwkcsosbicdxkicaua,0,13.64,0.16304,0.084395,46.30537836,f,20.54,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.50E-05,4.48E-06,0,3.82E-13,0,1.22E-05,5.63E-06,0,0,0,2009,12,1,1,335,2016,12,1,3,336,2015,11,1,6,305,2015,12,2,2,336,4.787336413,522.49,0,597
foosdfpfkusacimwkcsosbicdxkicaua,3764,145.03,0.118636,0.10175,40.606701,t,22.44,2,3,ldkssxwpmemidmecebumciepifcamkci,1.64E-05,4.34E-06,2.17E-06,0,0,1.11E-05,2.90E-06,4.86E-10,0,1,2013,3,22,4,81,2016,3,22,1,82,2014,6,25,2,176,2015,3,23,0,82,358.398329,59749.04,0,85717
foosdfpfkusacimwkcsosbicdxkicaua,4898,147.79,0.112852,0.095965,40.606701,t,19.92,2,3,lxidpiddsbxsbosboudacockeimpuepw,1.68E-05,4.31E-06,9.99E-07,3.44E-12,1.85E-12,1.11E-05,2.90E-06,4.86E-10,0,0,2012,9,14,4,258,2016,2,4,3,35,2014,2,4,1,35,2015,2,5,3,36,283.0125,61208.91,0,82616
