Customer_Index,Churn_Probability,Predicted_Churn_Baseline,Predicted_Churn_Tuned
8585,0.0,0,0
9600,0.07,0,0
12732,0.09,0,0
6289,0.05,0,0
3990,0.16,0,1
7479,0.06,0,0
10355,0.12,0,1
11186,0.05,0,0
12219,0.17,0,1
5053,0.45,0,1
10235,0.19,0,1
10298,0.01,0,0
1563,0.01,0,0
13624,0.02,0,0
7376,0.24,0,1
13018,0.06,0,0
13976,0.15,0,1
10531,0.0,0,0
6106,0.19,0,1
3374,0.06,0,0
13823,0.06,0,0
272,0.01,0,0
11770,0.02,0,0
5557,0.42,0,1
325,0.25,0,1
13291,0.16,0,1
5120,0.09,0,0
8413,0.07,0,0
13981,0.03,0,0
1261,0.06,0,0
2643,0.07,0,0
5276,0.09,0,0
13912,0.2,0,1
13032,0.05,0,0
7737,0.13,0,1
13644,0.01,0,0
6780,0.05,0,0
2894,0.12,0,1
3618,0.1,0,1
10487,0.03,0,0
6897,0.07,0,0
675,0.14,0,1
14055,0.02,0,0
5419,0.08,0,0
3081,0.06,0,0
11418,0.01,0,0
45,0.06,0,0
4597,0.07,0,0
8600,0.03,0,0
11537,0.1,0,1
11216,0.11,0,1
6492,0.2,0,1
10736,0.04,0,0
7388,0.11,0,1
13887,0.21,0,1
4937,0.08,0,0
4957,0.02,0,0
1035,0.05,0,0
6071,0.23,0,1
3061,0.03,0,0
7558,0.08,0,0
14529,0.1,0,1
13034,0.09,0,0
340,0.03,0,0
8456,0.14,0,1
10664,0.04,0,0
9117,0.01,0,0
9352,0.18,0,1
1363,0.0,0,0
6550,0.24,0,1
13552,0.09,0,0
1667,0.23,0,1
9792,0.06,0,0
5852,0.2,0,1
4398,0.07,0,0
9235,0.04,0,0
11367,0.37,0,1
519,0.11,0,1
13918,0.0,0,0
10364,0.01,0,0
12899,0.0,0,0
10113,0.01,0,0
488,0.18,0,1
489,0.21,0,1
13078,0.09,0,0
1281,0.01,0,0
3535,0.17,0,1
4386,0.03,0,0
10273,0.13,0,1
14503,0.1,0,1
663,0.05,0,0
7455,0.03,0,0
13203,0.05,0,0
8593,0.1,0,1
14554,0.02,0,0
4915,0.07,0,0
1640,0.1,0,1
9759,0.05,0,0
14449,0.05,0,0
6296,0.23,0,1
1392,0.06,0,0
620,0.36,0,1
2709,0.06,0,0
10640,0.05,0,0
8590,0.04,0,0
13891,0.17,0,1
9903,0.02,0,0
6465,0.09,0,0
2818,0.09,0,0
4755,0.1,0,1
7523,0.02,0,0
577,0.1,0,1
4075,0.11,0,1
14252,0.06,0,0
5953,0.07,0,0
13343,0.01,0,0
5215,0.04,0,0
2839,0.08,0,0
7222,0.02,0,0
12679,0.1,0,1
3294,0.03,0,0
10025,0.24,0,1
1583,0.0,0,0
3932,0.05,0,0
8681,0.11,0,1
6850,0.1,0,1
8190,0.04,0,0
12909,0.09,0,0
13889,0.02,0,0
9603,0.03,0,0
12538,0.08,0,0
5825,0.09,0,0
5893,0.12,0,1
9389,0.03,0,0
13468,0.18,0,1
14537,0.07,0,0
9700,0.0,0,0
3355,0.05,0,0
10500,0.12,0,1
10188,0.1,0,1
4296,0.08,0,0
5166,0.02,0,0
6371,0.03,0,0
9644,0.02,0,0
10843,0.08,0,0
3522,0.01,0,0
10700,0.04,0,0
2291,0.96,1,1
7368,0.03,0,0
8782,0.05,0,0
12070,0.08,0,0
8114,0.07,0,0
4635,0.08,0,0
10533,0.05,0,0
3480,0.5,1,1
4188,0.02,0,0
7545,0.15,0,1
4487,0.1,0,1
154,0.04,0,0
5980,0.08,0,0
1233,0.17,0,1
278,0.1,0,1
1669,0.01,0,0
1645,0.01,0,0
13848,0.01,0,0
8918,0.12,0,1
12239,0.01,0,0
10866,0.03,0,0
8230,0.13,0,1
7076,0.02,0,0
828,0.04,0,0
2406,0.04,0,0
3754,0.11,0,1
9168,0.14,0,1
5782,0.07,0,0
11961,0.04,0,0
605,0.1,0,1
4012,0.03,0,0
10659,0.21,0,1
8906,0.08,0,0
431,0.04,0,0
11559,0.08,0,0
10079,0.14,0,1
4855,0.12,0,1
2465,0.05,0,0
11732,0.07,0,0
852,0.15,0,1
4592,0.0,0,0
11415,0.06,0,0
452,0.01,0,0
8517,0.09,0,0
9729,0.07,0,0
5925,0.12,0,1
12562,0.05,0,0
3283,0.09,0,0
2043,0.05,0,0
2536,0.01,0,0
5895,0.01,0,0
6629,0.06,0,0
3010,0.15,0,1
399,0.27,0,1
1495,0.08,0,0
8929,0.07,0,0
14136,0.03,0,0
578,0.08,0,0
3487,0.13,0,1
2476,0.05,0,0
9560,0.14,0,1
11361,0.03,0,0
12547,0.05,0,0
7807,0.05,0,0
1553,0.08,0,0
8022,0.06,0,0
9953,0.08,0,0
12703,0.12,0,1
7867,0.03,0,0
11504,0.01,0,0
8950,0.03,0,0
4866,0.02,0,0
12584,0.05,0,0
7583,0.2,0,1
12124,0.15,0,1
10464,0.02,0,0
6132,0.27,0,1
13626,0.06,0,0
2384,0.11,0,1
1586,0.06,0,0
2030,0.07,0,0
221,0.04,0,0
1826,0.21,0,1
2849,0.07,0,0
9884,0.15,0,1
12958,0.29,0,1
6403,0.18,0,1
6249,0.12,0,1
13140,0.05,0,0
6673,0.23,0,1
7566,0.26,0,1
14088,0.09,0,0
2049,0.27,0,1
11780,0.13,0,1
1391,0.09,0,0
1091,0.07,0,0
4943,0.22,0,1
3515,0.05,0,0
1651,0.2,0,1
7029,0.07,0,0
5988,0.16,0,1
167,0.12,0,1
4002,0.08,0,0
7901,0.01,0,0
12169,0.1,0,1
9949,0.06,0,0
11428,0.1,0,1
974,0.13,0,1
13817,0.11,0,1
13734,0.05,0,0
4036,0.05,0,0
12984,0.08,0,0
6360,0.13,0,1
9256,0.04,0,0
4004,0.04,0,0
13164,0.09,0,0
7260,0.04,0,0
1554,0.08,0,0
10910,0.11,0,1
5753,0.07,0,0
1078,0.19,0,1
13394,0.18,0,1
5578,0.15,0,1
7848,0.15,0,1
3078,0.24,0,1
11771,0.01,0,0
12188,0.06,0,0
13219,0.01,0,0
5592,0.08,0,0
3017,0.02,0,0
8083,0.11,0,1
10224,0.06,0,0
10991,0.03,0,0
9214,0.11,0,1
214,0.03,0,0
1541,0.15,0,1
11620,0.04,0,0
7732,0.03,0,0
13211,0.05,0,0
10233,0.01,0,0
1136,0.01,0,0
13224,0.03,0,0
2134,0.06,0,0
4589,0.11,0,1
9625,0.13,0,1
11182,0.02,0,0
13880,0.39,0,1
9074,0.09,0,0
5628,0.09,0,0
5303,0.03,0,0
12687,0.25,0,1
12761,0.13,0,1
12357,0.19,0,1
6488,0.11,0,1
13881,0.07,0,0
31,0.1,0,1
2092,0.07,0,0
13523,0.08,0,0
8927,0.07,0,0
3567,0.0,0,0
9540,0.14,0,1
1427,0.1,0,1
7095,0.17,0,1
13538,0.04,0,0
845,0.02,0,0
2908,0.0,0,0
7082,0.06,0,0
1096,0.2,0,1
13808,0.08,0,0
8469,0.11,0,1
424,0.13,0,1
11268,0.14,0,1
5623,0.1,0,1
5006,0.28,0,1
11488,0.14,0,1
13248,0.02,0,0
3197,0.03,0,0
13861,0.03,0,0
3028,0.21,0,1
12522,0.11,0,1
8704,0.05,0,0
4774,0.13,0,1
9901,0.02,0,0
4938,0.05,0,0
10920,0.01,0,0
11114,0.07,0,0
5281,0.08,0,0
10238,0.03,0,0
13212,0.1,0,1
3978,0.07,0,0
13280,0.02,0,0
1985,0.04,0,0
11362,0.08,0,0
2214,0.03,0,0
13707,0.0,0,0
13616,0.01,0,0
8202,0.06,0,0
11011,0.1,0,1
4433,0.05,0,0
11579,0.03,0,0
2676,0.13,0,1
10485,0.07,0,0
13515,0.01,0,0
14361,0.1,0,1
6804,0.04,0,0
6023,0.04,0,0
1670,0.07,0,0
7158,0.09,0,0
1357,0.44,0,1
2450,0.07,0,0
7131,0.06,0,0
1992,0.16,0,1
719,0.02,0,0
7741,0.0,0,0
7839,0.05,0,0
13377,0.07,0,0
11134,0.03,0,0
7919,0.06,0,0
9259,0.16,0,1
4548,0.06,0,0
14371,0.06,0,0
4194,0.03,0,0
12430,0.01,0,0
7436,0.05,0,0
2573,0.01,0,0
9479,0.07,0,0
7091,0.11,0,1
9574,0.03,0,0
11587,0.04,0,0
3645,0.04,0,0
10152,0.12,0,1
12999,0.31,0,1
643,0.0,0,0
12223,0.16,0,1
3472,0.01,0,0
2260,0.04,0,0
466,0.12,0,1
12601,0.13,0,1
10115,0.05,0,0
6366,0.02,0,0
10324,0.04,0,0
13228,0.05,0,0
12087,0.09,0,0
10150,0.12,0,1
8210,0.2,0,1
4501,0.02,0,0
9304,0.0,0,0
5777,0.11,0,1
7730,0.01,0,0
4960,0.02,0,0
7279,0.14,0,1
6193,0.02,0,0
1861,0.03,0,0
5968,0.17,0,1
5068,0.08,0,0
13631,0.11,0,1
10948,0.05,0,0
5552,0.09,0,0
5942,0.03,0,0
7712,0.14,0,1
9020,0.04,0,0
1748,0.01,0,0
8554,0.07,0,0
5342,0.03,0,0
5792,0.14,0,1
12110,0.09,0,0
6046,0.08,0,0
11665,0.04,0,0
6530,0.11,0,1
159,0.06,0,0
5548,0.07,0,0
11808,0.05,0,0
13286,0.04,0,0
2176,0.13,0,1
1334,0.04,0,0
4304,0.11,0,1
4503,0.14,0,1
6321,0.21,0,1
3442,0.08,0,0
13252,0.21,0,1
5198,0.03,0,0
2686,0.07,0,0
8436,0.01,0,0
10094,0.01,0,0
6760,0.07,0,0
9910,0.09,0,0
11275,0.22,0,1
6196,0.07,0,0
6752,0.05,0,0
2411,0.08,0,0
10381,0.11,0,1
1271,0.08,0,0
8444,0.22,0,1
7811,0.1,0,1
3965,0.01,0,0
14293,0.08,0,0
575,0.04,0,0
3213,0.23,0,1
14580,0.05,0,0
11838,0.06,0,0
13743,0.14,0,1
3088,0.02,0,0
14525,0.15,0,1
776,0.14,0,1
320,0.07,0,0
3018,0.29,0,1
3951,0.03,0,0
8119,0.12,0,1
321,0.14,0,1
10341,0.05,0,0
11868,0.27,0,1
8779,0.0,0,0
1462,0.14,0,1
5431,0.04,0,0
5466,0.08,0,0
11313,0.17,0,1
2087,0.03,0,0
4448,0.11,0,1
5909,0.09,0,0
13376,0.09,0,0
12571,0.03,0,0
7169,0.16,0,1
8586,0.09,0,0
3921,0.13,0,1
13087,0.1,0,1
2455,0.09,0,0
174,0.08,0,0
9287,0.05,0,0
10198,0.08,0,0
3639,0.09,0,0
2607,0.19,0,1
7918,0.16,0,1
5771,0.05,0,0
9872,0.1,0,1
14257,0.08,0,0
7301,0.07,0,0
4727,0.0,0,0
13053,0.03,0,0
7663,0.07,0,0
9451,0.04,0,0
8688,0.25,0,1
12135,0.08,0,0
2288,0.03,0,0
8164,0.05,0,0
1124,0.04,0,0
3861,0.07,0,0
9400,0.04,0,0
9999,0.03,0,0
3733,0.05,0,0
10418,0.14,0,1
393,0.1,0,1
9741,0.02,0,0
5063,0.03,0,0
11221,0.1,0,1
13849,0.02,0,0
5467,0.11,0,1
9583,0.05,0,0
7286,0.01,0,0
7433,0.15,0,1
4109,0.06,0,0
13073,0.19,0,1
12762,0.16,0,1
11080,0.01,0,0
10108,0.03,0,0
628,0.1,0,1
8317,0.03,0,0
8619,0.09,0,0
9636,0.18,0,1
201,0.07,0,0
3245,0.1,0,1
10569,0.08,0,0
6774,0.19,0,1
11852,0.05,0,0
3882,0.15,0,1
8560,0.14,0,1
7619,0.11,0,1
6665,0.21,0,1
5897,0.02,0,0
8364,0.33,0,1
13370,0.2,0,1
2201,0.07,0,0
4544,0.04,0,0
8040,0.04,0,0
950,0.12,0,1
8180,0.16,0,1
4567,0.08,0,0
4135,0.05,0,0
3598,0.07,0,0
503,0.17,0,1
10756,0.11,0,1
5271,0.09,0,0
499,0.17,0,1
9748,0.23,0,1
6600,0.05,0,0
12204,0.04,0,0
13647,0.1,0,1
1113,0.01,0,0
11494,0.18,0,1
4612,0.0,0,0
8908,0.04,0,0
459,0.14,0,1
5090,0.0,0,0
4324,0.09,0,0
1418,0.05,0,0
14547,0.05,0,0
1687,0.05,0,0
1775,0.3,0,1
196,0.05,0,0
12048,0.03,0,0
4542,0.1,0,1
9643,0.23,0,1
10680,0.13,0,1
7453,0.09,0,0
406,0.18,0,1
4610,0.08,0,0
12482,0.07,0,0
4802,0.07,0,0
8635,0.08,0,0
13213,0.09,0,0
7923,0.14,0,1
7926,0.17,0,1
12769,0.15,0,1
12529,0.01,0,0
10135,0.09,0,0
9091,0.0,0,0
8831,0.09,0,0
12730,0.04,0,0
1399,0.04,0,0
5858,0.08,0,0
10047,0.04,0,0
7785,0.09,0,0
3285,0.1,0,1
2946,0.1,0,1
9642,0.05,0,0
14507,0.04,0,0
6016,0.07,0,0
9001,0.06,0,0
10923,0.05,0,0
6518,0.11,0,1
4827,0.1,0,1
1145,0.09,0,0
5150,0.14,0,1
7002,0.13,0,1
3311,0.08,0,0
1978,0.11,0,1
712,0.14,0,1
9326,0.05,0,0
8227,0.1,0,1
6338,0.1,0,1
5651,0.06,0,0
3992,0.04,0,0
14522,0.02,0,0
13603,0.1,0,1
2976,0.13,0,1
4934,0.07,0,0
48,0.05,0,0
11370,0.03,0,0
4911,0.09,0,0
4499,0.05,0,0
13710,0.03,0,0
313,0.12,0,1
4134,0.03,0,0
7731,0.33,0,1
11626,0.26,0,1
5587,0.24,0,1
12977,0.03,0,0
9519,0.09,0,0
3824,0.06,0,0
6690,0.08,0,0
12,0.04,0,0
88,0.04,0,0
10963,0.15,0,1
6095,0.12,0,1
13102,0.13,0,1
9432,0.15,0,1
308,0.05,0,0
7004,0.07,0,0
8398,0.19,0,1
14410,0.17,0,1
9720,0.07,0,0
14605,0.09,0,0
7350,0.54,1,1
12252,0.07,0,0
5500,0.0,0,0
12798,0.03,0,0
3032,0.3,0,1
843,0.04,0,0
5629,0.07,0,0
2400,0.04,0,0
4655,0.02,0,0
6434,0.25,0,1
9381,0.04,0,0
3157,0.12,0,1
134,0.02,0,0
3075,0.12,0,1
8788,0.12,0,1
5536,0.04,0,0
2119,0.04,0,0
11151,0.06,0,0
11217,0.12,0,1
4064,0.11,0,1
4977,0.0,0,0
13436,0.19,0,1
8268,0.06,0,0
12035,0.12,0,1
2763,0.06,0,0
9398,0.03,0,0
7956,0.05,0,0
12092,0.01,0,0
8509,0.03,0,0
12951,0.01,0,0
1087,0.08,0,0
8009,0.12,0,1
6893,0.1,0,1
11487,0.02,0,0
3546,0.12,0,1
7418,0.02,0,0
13398,0.13,0,1
13012,0.11,0,1
8555,0.05,0,0
12012,0.02,0,0
7150,0.1,0,1
3008,0.17,0,1
4691,0.97,1,1
5366,0.0,0,0
7126,0.11,0,1
12311,0.1,0,1
4230,0.09,0,0
1274,0.33,0,1
2252,0.05,0,0
9003,0.02,0,0
6113,0.54,1,1
5583,0.15,0,1
6519,0.13,0,1
4402,0.04,0,0
4948,0.63,1,1
2385,0.02,0,0
12693,0.22,0,1
397,0.0,0,0
8492,0.15,0,1
13752,0.09,0,0
1018,0.0,0,0
8335,0.03,0,0
3759,0.11,0,1
9171,0.1,0,1
2975,0.21,0,1
12364,0.17,0,1
1468,0.08,0,0
5920,0.09,0,0
9529,0.1,0,1
10693,0.1,0,1
9554,0.08,0,0
10781,0.24,0,1
4374,0.02,0,0
11136,0.19,0,1
11739,0.06,0,0
3849,0.08,0,0
4831,0.15,0,1
11884,0.11,0,1
12414,0.02,0,0
3020,0.03,0,0
10037,0.03,0,0
4900,1.0,1,1
7635,0.05,0,0
1783,0.2,0,1
8494,0.09,0,0
486,0.14,0,1
7574,0.21,0,1
6053,0.06,0,0
11978,0.17,0,1
791,0.14,0,1
5480,0.15,0,1
11291,0.04,0,0
5362,0.02,0,0
14171,0.12,0,1
7681,0.07,0,0
6301,0.14,0,1
5760,0.2,0,1
3572,0.1,0,1
94,0.07,0,0
2445,0.28,0,1
14213,0.05,0,0
3144,0.14,0,1
7947,0.1,0,1
9418,0.01,0,0
12306,0.21,0,1
6677,0.04,0,0
6041,0.08,0,0
6638,0.0,0,0
641,0.12,0,1
775,0.3,0,1
1001,0.08,0,0
4214,0.07,0,0
6226,0.1,0,1
3763,0.14,0,1
11689,0.05,0,0
13021,0.02,0,0
10851,0.08,0,0
1231,0.11,0,1
1217,0.06,0,0
11680,0.12,0,1
1250,0.13,0,1
13080,0.21,0,1
8391,0.2,0,1
6358,0.02,0,0
12573,0.08,0,0
3030,0.07,0,0
9608,0.09,0,0
14370,0.06,0,0
4115,0.1,0,1
7403,0.06,0,0
7542,0.24,0,1
1172,0.0,0,0
8971,0.05,0,0
11800,0.02,0,0
12735,0.12,0,1
1543,0.21,0,1
449,0.11,0,1
11715,0.17,0,1
2760,0.02,0,0
1129,0.03,0,0
3710,0.04,0,0
10621,0.08,0,0
13600,0.23,0,1
6354,0.0,0,0
6201,0.1,0,1
1425,0.06,0,0
12186,0.06,0,0
12802,0.04,0,0
11204,0.07,0,0
12475,0.06,0,0
5555,0.19,0,1
12317,0.24,0,1
2517,0.07,0,0
9691,0.01,0,0
11755,0.22,0,1
6025,0.02,0,0
11690,0.16,0,1
1856,0.26,0,1
10618,0.1,0,1
3079,0.14,0,1
5047,0.15,0,1
6748,0.01,0,0
10987,0.08,0,0
8184,0.12,0,1
8215,0.02,0,0
11561,0.18,0,1
3635,0.02,0,0
6669,0.12,0,1
952,0.09,0,0
6605,0.12,0,1
10865,0.01,0,0
11885,0.01,0,0
10363,0.03,0,0
11527,0.08,0,0
12566,0.1,0,1
13047,0.11,0,1
7886,0.02,0,0
3481,0.02,0,0
5877,0.06,0,0
7664,0.11,0,1
1094,0.13,0,1
4414,0.03,0,0
12431,0.04,0,0
10032,0.08,0,0
8808,0.09,0,0
5069,0.13,0,1
6044,0.14,0,1
1845,0.02,0,0
7287,0.17,0,1
10089,0.06,0,0
4358,0.01,0,0
11262,0.03,0,0
13529,0.02,0,0
10286,0.09,0,0
13901,0.03,0,0
3675,0.26,0,1
10202,0.16,0,1
7048,0.02,0,0
12886,0.19,0,1
14026,0.03,0,0
12520,0.17,0,1
8339,0.08,0,0
6111,0.07,0,0
8066,0.04,0,0
8634,0.3,0,1
12222,0.28,0,1
1520,0.12,0,1
11028,0.01,0,0
6886,0.05,0,0
1785,0.11,0,1
4769,0.22,0,1
13745,0.03,0,0
12275,0.05,0,0
12722,0.15,0,1
2515,0.03,0,0
14216,0.15,0,1
12649,0.01,0,0
1457,0.05,0,0
12224,0.03,0,0
2090,0.0,0,0
44,0.18,0,1
7563,0.08,0,0
8991,0.03,0,0
12478,0.05,0,0
927,0.15,0,1
3699,0.13,0,1
3299,0.17,0,1
4520,0.04,0,0
11278,0.02,0,0
11093,0.09,0,0
4753,0.0,0,0
3648,0.16,0,1
4563,0.39,0,1
12416,0.05,0,0
6474,0.05,0,0
7014,0.01,0,0
14395,0.09,0,0
4309,0.07,0,0
14577,0.02,0,0
3373,0.02,0,0
654,0.08,0,0
3176,0.1,0,1
4249,0.54,1,1
8011,0.15,0,1
6137,0.07,0,0
8451,0.09,0,0
146,0.01,0,0
230,0.75,1,1
12724,0.17,0,1
312,0.13,0,1
10218,0.2,0,1
6290,0.05,0,0
9629,0.11,0,1
6323,0.04,0,0
7532,0.23,0,1
2162,0.03,0,0
2351,0.02,0,0
9973,0.0,0,0
8625,0.1,0,1
9940,0.05,0,0
2272,0.06,0,0
3864,0.05,0,0
11671,0.01,0,0
5564,0.2,0,1
14044,0.17,0,1
9480,0.2,0,1
6003,0.08,0,0
7502,0.03,0,0
9757,0.17,0,1
280,0.03,0,0
7435,0.27,0,1
5214,0.1,0,1
2627,0.05,0,0
11139,0.16,0,1
9234,0.04,0,0
14559,0.17,0,1
5689,0.09,0,0
6155,0.05,0,0
3344,0.08,0,0
7412,0.09,0,0
14438,0.01,0,0
10495,0.03,0,0
3520,0.12,0,1
5975,0.02,0,0
7057,0.17,0,1
7786,0.14,0,1
8716,0.03,0,0
639,0.03,0,0
8314,0.02,0,0
4091,0.09,0,0
7133,0.07,0,0
9281,0.07,0,0
10139,0.08,0,0
6303,0.11,0,1
7056,0.06,0,0
4311,0.12,0,1
10807,0.09,0,0
1638,0.1,0,1
14262,0.06,0,0
11002,0.07,0,0
3857,0.12,0,1
5023,0.04,0,0
9913,0.22,0,1
14011,0.05,0,0
8580,0.06,0,0
13067,0.13,0,1
12720,0.11,0,1
10901,0.02,0,0
5653,0.08,0,0
4840,0.1,0,1
7611,0.05,0,0
6005,0.07,0,0
13208,0.08,0,0
2060,0.06,0,0
2459,0.07,0,0
10515,0.15,0,1
2617,0.02,0,0
9780,0.04,0,0
12041,0.06,0,0
12904,0.14,0,1
725,0.23,0,1
8223,0.02,0,0
11074,0.06,0,0
5997,0.02,0,0
10971,0.27,0,1
4445,0.01,0,0
14444,0.05,0,0
11232,0.03,0,0
556,0.07,0,0
371,0.07,0,0
8571,0.07,0,0
9145,0.25,0,1
11455,0.01,0,0
3048,0.02,0,0
12600,0.08,0,0
6871,0.1,0,1
8503,0.03,0,0
12008,0.18,0,1
7051,0.02,0,0
5573,0.13,0,1
3539,0.13,0,1
11066,0.11,0,1
4595,0.0,0,0
11411,0.08,0,0
4269,0.04,0,0
768,0.2,0,1
5443,0.04,0,0
2247,0.08,0,0
1952,0.11,0,1
2031,0.09,0,0
9344,0.05,0,0
7016,0.19,0,1
2535,0.0,0,0
13412,0.13,0,1
13082,0.17,0,1
9610,0.04,0,0
4565,0.02,0,0
12139,0.13,0,1
11650,0.05,0,0
14404,0.04,0,0
10209,0.03,0,0
2819,0.13,0,1
13484,0.12,0,1
3629,0.08,0,0
6411,0.2,0,1
2595,0.01,0,0
4734,0.03,0,0
11692,0.23,0,1
11068,0.1,0,1
5797,0.05,0,0
6792,0.21,0,1
5750,0.0,0,0
5357,0.07,0,0
2791,0.02,0,0
7470,0.05,0,0
11842,0.02,0,0
14127,0.05,0,0
1187,0.14,0,1
2267,0.01,0,0
7010,0.16,0,1
2841,0.16,0,1
6480,0.13,0,1
2729,0.19,0,1
7227,0.2,0,1
541,0.14,0,1
1191,0.11,0,1
6048,0.1,0,1
992,0.08,0,0
7298,0.05,0,0
1846,0.08,0,0
598,0.14,0,1
7442,0.16,0,1
2327,0.04,0,0
1746,0.14,0,1
665,0.05,0,0
379,0.01,0,0
10506,0.03,0,0
5125,0.22,0,1
4708,0.26,0,1
9300,0.1,0,1
10900,0.13,0,1
2669,0.04,0,0
11445,0.13,0,1
11234,0.08,0,0
11663,0.2,0,1
187,0.15,0,1
651,0.01,0,0
11512,0.15,0,1
7598,0.07,0,0
10783,0.05,0,0
4946,0.07,0,0
13110,0.06,0,0
9467,0.07,0,0
9333,0.01,0,0
2625,0.77,1,1
10850,0.03,0,0
181,0.07,0,0
9080,0.24,0,1
8175,0.08,0,0
10986,0.26,0,1
12480,0.07,0,0
8568,0.05,0,0
13963,0.03,0,0
7504,0.03,0,0
7046,0.0,0,0
4861,0.17,0,1
4954,0.08,0,0
7801,0.2,0,1
8732,0.11,0,1
4436,0.29,0,1
8894,0.07,0,0
10300,0.16,0,1
7364,0.06,0,0
10259,0.08,0,0
2730,0.11,0,1
10711,0.02,0,0
12903,0.15,0,1
7457,0.15,0,1
2084,0.07,0,0
11128,0.0,0,0
14407,0.02,0,0
4388,0.06,0,0
7043,0.01,0,0
1499,0.1,0,1
5094,0.1,0,1
8762,0.04,0,0
13716,0.21,0,1
4507,0.05,0,0
5018,0.13,0,1
7798,0.02,0,0
11519,0.11,0,1
9943,0.08,0,0
5105,0.06,0,0
4428,0.06,0,0
5164,0.01,0,0
7285,0.22,0,1
12211,0.39,0,1
1358,0.02,0,0
10141,0.08,0,0
509,0.09,0,0
4721,0.13,0,1
5438,0.07,0,0
7550,0.6,1,1
13508,0.14,0,1
2813,0.06,0,0
3899,0.45,0,1
14343,0.08,0,0
9095,0.05,0,0
1002,0.06,0,0
5030,0.11,0,1
13198,0.07,0,0
8221,0.08,0,0
13042,0.2,0,1
7223,0.04,0,0
6343,0.12,0,1
7809,0.07,0,0
14008,0.21,0,1
8992,0.02,0,0
6968,0.12,0,1
8302,0.15,0,1
11169,0.16,0,1
4688,0.02,0,0
457,0.14,0,1
1927,0.01,0,0
304,0.02,0,0
11176,0.01,0,0
3158,0.08,0,0
4794,0.08,0,0
13679,0.29,0,1
10243,0.12,0,1
4700,0.31,0,1
5002,0.04,0,0
823,0.17,0,1
9806,0.14,0,1
3485,0.07,0,0
6814,0.03,0,0
4231,0.32,0,1
634,0.1,0,1
12337,0.24,0,1
6821,0.03,0,0
733,0.14,0,1
265,0.1,0,1
12062,0.21,0,1
8313,0.09,0,0
13054,0.17,0,1
491,0.05,0,0
12147,0.05,0,0
6952,0.07,0,0
9086,0.03,0,0
6174,0.03,0,0
11067,0.04,0,0
14476,0.03,0,0
133,0.14,0,1
5111,0.06,0,0
6060,0.06,0,0
6616,0.12,0,1
11589,0.1,0,1
12406,0.07,0,0
12946,0.15,0,1
3775,0.04,0,0
1082,0.09,0,0
11849,0.1,0,1
2193,0.01,0,0
5579,0.03,0,0
2759,0.12,0,1
6012,0.1,0,1
454,0.01,0,0
2261,0.12,0,1
157,0.17,0,1
3277,0.2,0,1
